order_id,order_date,sku_id,sku_name,quantity,store_id,category
ORD_0000001,2023-07-01,SKU_001,Full Cream Milk 1L,8,STORE_A,dairy
ORD_0000002,2023-07-01,SKU_001,Full Cream Milk 1L,5,STORE_A,dairy
ORD_0000003,2023-07-01,SKU_001,Full Cream Milk 1L,7,STORE_A,dairy
ORD_0000004,2023-07-01,SKU_001,Full Cream Milk 1L,10,STORE_A,dairy
ORD_0000005,2023-07-01,SKU_001,Full Cream Milk 1L,3,STORE_A,dairy
ORD_0000006,2023-07-01,SKU_001,Full Cream Milk 1L,7,STORE_A,dairy
ORD_0000007,2023-07-01,SKU_001,Full Cream Milk 1L,8,STORE_A,dairy
ORD_0000008,2023-07-01,SKU_001,Full Cream Milk 1L,5,STORE_A,dairy
ORD_0000009,2023-07-01,SKU_001,Full Cream Milk 1L,4,STORE_A,dairy
ORD_0000010,2023-07-01,SKU_001,Full Cream Milk 1L,2,STORE_A,dairy
ORD_0000011,2023-07-01,SKU_002,Eggs 12pk,8,STORE_A,dairy
ORD_0000012,2023-07-01,SKU_002,Eggs 12pk,3,STORE_A,dairy
ORD_0000013,2023-07-01,SKU_002,Eggs 12pk,6,STORE_A,dairy
ORD_0000014,2023-07-01,SKU_002,Eggs 12pk,5,STORE_A,dairy
ORD_0000015,2023-07-01,SKU_002,Eggs 12pk,2,STORE_A,dairy
ORD_0000016,2023-07-01,SKU_002,Eggs 12pk,8,STORE_A,dairy
ORD_0000017,2023-07-01,SKU_002,Eggs 12pk,6,STORE_A,dairy
ORD_0000018,2023-07-01,SKU_002,Eggs 12pk,2,STORE_A,dairy
ORD_0000019,2023-07-01,SKU_002,Eggs 12pk,5,STORE_A,dairy
ORD_0000020,2023-07-01,SKU_002,Eggs 12pk,1,STORE_A,dairy
ORD_0000021,2023-07-01,SKU_003,Bread White 400g,9,STORE_A,staples
ORD_0000022,2023-07-01,SKU_003,Bread White 400g,1,STORE_A,staples
ORD_0000023,2023-07-01,SKU_003,Bread White 400g,10,STORE_A,staples
ORD_0000024,2023-07-01,SKU_003,Bread White 400g,3,STORE_A,staples
ORD_0000025,2023-07-01,SKU_003,Bread White 400g,7,STORE_A,staples
ORD_0000026,2023-07-01,SKU_003,Bread White 400g,4,STORE_A,staples
ORD_0000027,2023-07-01,SKU_003,Bread White 400g,3,STORE_A,staples
ORD_0000028,2023-07-01,SKU_004,Banana 1kg,3,STORE_A,produce
ORD_0000029,2023-07-01,SKU_004,Banana 1kg,5,STORE_A,produce
ORD_0000030,2023-07-01,SKU_004,Banana 1kg,3,STORE_A,produce
ORD_0000031,2023-07-01,SKU_004,Banana 1kg,7,STORE_A,produce
ORD_0000032,2023-07-01,SKU_004,Banana 1kg,5,STORE_A,produce
ORD_0000033,2023-07-01,SKU_004,Banana 1kg,1,STORE_A,produce
ORD_0000034,2023-07-01,SKU_005,Onion 1kg,4,STORE_A,produce
ORD_0000035,2023-07-01,SKU_005,Onion 1kg,7,STORE_A,produce
ORD_0000036,2023-07-01,SKU_005,Onion 1kg,8,STORE_A,produce
ORD_0000037,2023-07-01,SKU_005,Onion 1kg,3,STORE_A,produce
ORD_0000038,2023-07-01,SKU_005,Onion 1kg,1,STORE_A,produce
ORD_0000039,2023-07-01,SKU_005,Onion 1kg,4,STORE_A,produce
ORD_0000040,2023-07-01,SKU_005,Onion 1kg,2,STORE_A,produce
